subjects,n3_1,n3_2,n3_3,n3_4,n3_5,n3_6,n3_7,n3_8,n3_9,n3_10,n3_11,n3_12,n6_1,n6_2,n6_3,n6_4,n6_5,n6_6,n6_7,n6_8,n6_9,n6_10,n6_11,n6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
0ba307,0.25,0.6666666667,0.6666666667,0.8333333333,0.8333333333,1,0.8333333333,1,0.8333333333,0.8333333333,0.9166666667,1,0.3888888889,0.3888888889,0.6111111111,0.6666666667,0.6111111111,0.7222222222,0.8333333333,0.8333333333,0.7222222222,1,0.7222222222,0.9444444444,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778
705faf,0.3333333333,0.5833333333,0.6666666667,0.8333333333,0.6666666667,0.8333333333,0.9166666667,0.75,0.75,1,0.8333333333,0.75,0.2777777778,0.3888888889,0.6111111111,0.7222222222,0.7222222222,0.8888888889,0.6666666667,0.7777777778,0.8888888889,0.8888888889,0.9444444444,0.8333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778
36eea3,0.3333333333,0.5833333333,0.4166666667,0.5833333333,0.6666666667,0.1666666667,0.6666666667,0.5833333333,0.8333333333,0.6666666667,0.6666666667,0.6666666667,0.3888888889,0.2777777778,0.2777777778,0.3888888889,0.2222222222,0.2777777778,0.3333333333,0.3333333333,0.3888888889,0.5555555556,0.1666666667,0.3888888889,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889
6df72f,0.25,0.1666666667,0.3333333333,0.9166666667,0.6666666667,0.9166666667,0.9166666667,0.75,1,0.9166666667,0.9166666667,0.8333333333,0.3888888889,0.5555555556,0.6111111111,0.4444444444,0.6111111111,0.7222222222,0.7222222222,0.7222222222,0.6111111111,0.7222222222,0.6666666667,0.6111111111,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
b0f378,0.5833333333,0.4166666667,0.75,0.75,0.6666666667,0.75,1,1,0.75,0.9166666667,0.9166666667,1,0.2222222222,0.6111111111,0.4444444444,0.5555555556,0.5,0.3888888889,0.6666666667,0.6666666667,0.7777777778,0.8888888889,0.7777777778,0.7777777778,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667
109dd7,0.6666666667,1,0.9166666667,0.75,1,0.9166666667,0.9166666667,1,1,1,1,0.9166666667,0.8888888889,0.9444444444,1,1,1,0.8333333333,0.8333333333,0.8888888889,1,0.8888888889,0.8888888889,0.9444444444,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
55786f,0.4166666667,0.5833333333,0.9166666667,1,0.9166666667,0.9166666667,1,1,0.8333333333,1,0.9166666667,0.9166666667,0.3888888889,0.5555555556,0.5,0.6111111111,0.6666666667,0.8888888889,0.8333333333,0.8888888889,0.7222222222,0.8333333333,0.9444444444,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222
df283c,0.4166666667,0.5,0.4166666667,0.5833333333,0.3333333333,0.5833333333,0.6666666667,0.8333333333,0.75,0.5,0.5,0.75,0.1111111111,0.2777777778,0.1666666667,0.3888888889,0.3888888889,0.3888888889,0.1666666667,0.3333333333,0.4444444444,0.1666666667,0.2777777778,0.4444444444,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444,0.3194444444
0d12a9,0.1666666667,0.4166666667,0.6666666667,0.75,0.75,0.9166666667,0.8333333333,0.8333333333,0.9166666667,0.8333333333,0.8333333333,1,0.3333333333,0.3333333333,0.5,0.3333333333,0.6111111111,0.5555555556,0.5,0.6111111111,0.5,0.4444444444,0.5,0.7222222222,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444
d5f059,0.5833333333,0.75,0.75,0.75,0.9166666667,0.8333333333,1,0.75,0.75,0.75,0.8333333333,0.9166666667,0.3333333333,0.5,0.5555555556,0.4444444444,0.6111111111,0.5555555556,0.5,0.2777777778,0.3888888889,0.5,0.6666666667,0.5,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889
8499d1,0.3333333333,0.75,0.6666666667,0.9166666667,0.6666666667,0.9166666667,0.75,0.9166666667,0.8333333333,0.9166666667,1,0.8333333333,0.5,0.6111111111,0.5,0.6666666667,0.6111111111,0.6666666667,0.6666666667,0.6666666667,0.8888888889,0.6666666667,0.6111111111,0.7222222222,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444
a61e8c,0.4166666667,0.5833333333,0.9166666667,0.9166666667,0.8333333333,0.9166666667,0.9166666667,1,0.9166666667,0.8333333333,1,1,0.2777777778,0.3333333333,0.5,0.3888888889,0.3888888889,0.7777777778,0.7777777778,0.8333333333,0.9444444444,0.9444444444,0.8888888889,0.8333333333,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444
84205d,0.4166666667,0.75,0.6666666667,0.8333333333,0.8333333333,0.8333333333,0.5833333333,0.9166666667,0.75,0.9166666667,0.8333333333,0.8333333333,0.3333333333,0.4444444444,0.5555555556,0.3888888889,0.5555555556,0.5,0.4444444444,0.6111111111,0.3333333333,0.5555555556,0.6111111111,0.5555555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222
37a6d4,0.75,0.5,0.75,0.8333333333,1,1,0.8333333333,1,0.9166666667,1,0.8333333333,1,0.2222222222,0.3888888889,0.4444444444,0.6111111111,0.7222222222,0.6666666667,0.8333333333,0.8333333333,0.7777777778,0.9444444444,0.9444444444,0.8888888889,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778
5d0258,0.5,0.5833333333,0.75,0.75,0.6666666667,0.8333333333,0.75,0.9166666667,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.4444444444,0.7222222222,0.5,0.8333333333,0.6666666667,0.8333333333,0.9444444444,0.9444444444,0.8333333333,0.9444444444,1,0.9444444444,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667
