subjects,learn3_1,learn3_2,learn3_3,learn3_4,learn3_5,learn3_6,learn3_7,learn3_8,learn3_9,learn3_10,learn3_11,learn3_12,learn6_1,learn6_2,learn6_3,learn6_4,learn6_5,learn6_6,learn6_7,learn6_8,learn6_9,learn6_10,learn6_11,learn6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
567f54,0.8333333333,0.625,0.8333333333,0.875,0.625,0.875,0.9583333333499999,0.9166666666500001,0.7916666666500001,0.9583333333499999,0.875,0.9166666666500001,0.30555555555,0.25,0.38888888885,0.44444444445,0.41666666665,0.55555555555,0.5,0.5277777778,0.47222222225,0.6388888889,0.55555555555,0.5,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
67c062,0.41666666669999997,0.5,0.5416666666500001,0.75,0.75,0.6666666667,0.7083333333499999,0.75,0.7083333333,0.7916666667,0.875,0.7916666666500001,0.36111111110000005,0.22222222225,0.3611111111,0.25,0.33333333335000004,0.47222222225,0.5833333333499999,0.4722222222,0.5277777778,0.36111111110000005,0.47222222225,0.47222222225,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111
6ed5d3,0.375,0.5416666666500001,0.875,0.875,0.9166666666500001,0.875,1,0.875,0.875,0.9583333333499999,1,0.9583333333499999,0.3611111111,0.5277777778,0.5555555556,0.6111111111,0.52777777775,0.6666666666500001,0.7777777777999999,0.7777777777999999,0.72222222225,0.69444444445,0.7777777777999999,0.80555555555,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556
77a5d0,0.5416666666500001,0.5416666666500001,0.5833333333,0.8333333333499999,0.7916666666500001,0.875,0.9583333333499999,0.875,0.7916666666500001,0.8333333333499999,0.8333333333499999,0.9166666666500001,0.44444444445,0.5277777778,0.33333333330000003,0.52777777775,0.5833333333499999,0.38888888885,0.58333333335,0.6388888889,0.7222222222000001,0.6666666667000001,0.77777777775,0.7222222222000001,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
02920d,0.5416666666500001,0.5833333333499999,0.7916666667,0.9583333333499999,0.9166666667,0.8333333333499999,0.9166666667,0.9583333333499999,0.9583333333499999,0.875,0.9166666666500001,0.9166666666500001,0.41666666664999996,0.55555555555,0.6111111111,0.6666666666500001,0.75,0.77777777775,0.77777777775,0.72222222225,0.8611111111,0.6666666666500001,0.8888888889,0.94444444445,1,1,1,1,1,1,1,1,1,1,1,1,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667
7bf79c,0.5416666666500001,0.6666666667,0.66666666665,0.8333333333499999,0.9166666667,0.9166666667,0.9166666666500001,0.9583333333499999,0.9166666667,0.9166666666500001,0.9583333333499999,0.9583333333499999,0.27777777775,0.52777777775,0.47222222225,0.5,0.55555555555,0.6388888889,0.61111111115,0.69444444445,0.75,0.75,0.7222222222,0.5833333333,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889
3ae3cc,0.5,0.625,0.45833333330000003,0.7916666667,0.875,0.7916666667,0.7916666667,0.9166666667,0.7916666666500001,0.8333333333499999,0.9166666666500001,0.875,0.3611111111,0.3888888889,0.5,0.5555555556,0.4166666667,0.58333333335,0.6666666667,0.5277777778,0.6111111111,0.6111111111,0.6666666666500001,0.55555555555,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444
6720f9,0.5,0.7916666666500001,0.75,0.75,0.7916666666500001,0.9583333333499999,0.9166666667,0.875,0.875,0.9166666667,0.9583333333499999,0.875,0.44444444445,0.4722222222,0.4722222222,0.4166666667,0.6666666666500001,0.4166666667,0.5,0.55555555555,0.55555555555,0.69444444445,0.5833333333499999,0.72222222225,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889
aa8941,0.5833333333499999,0.7083333333,0.8333333333499999,0.8333333333499999,0.875,0.9166666666500001,0.875,0.9583333333499999,0.9166666666500001,0.9166666666500001,1,0.9583333333499999,0.3333333333,0.4166666667,0.3888888889,0.5,0.5277777778,0.5277777778,0.58333333335,0.6388888888500001,0.52777777775,0.72222222225,0.72222222225,0.80555555555,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
2f7385,0.5,0.2916666667,0.6666666666500001,0.375,0.5,0.625,0.6666666666500001,0.7083333333499999,0.75,0.6666666667,0.7083333333499999,0.5833333333,0.41666666665,0.5277777778,0.44444444445,0.5,0.55555555555,0.44444444445,0.61111111115,0.55555555555,0.55555555555,0.55555555555,0.55555555555,0.6388888888500001,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
ae3463,0.5,0.5416666667,0.625,0.75,0.7916666666500001,0.75,0.875,0.9583333333499999,0.9583333333499999,1,0.875,1,0.3888888889,0.41666666665,0.55555555555,0.41666666664999996,0.44444444445000003,0.4166666667,0.6111111111,0.61111111115,0.6666666667,0.6666666666500001,0.7777777777999999,0.77777777775,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889
513534,0.41666666665,0.8333333333499999,0.9166666666500001,0.875,0.875,0.9166666666500001,0.875,0.9166666666500001,1,0.9166666667,0.9583333333499999,0.9583333333499999,0.3333333333,0.52777777775,0.52777777775,0.61111111115,0.6666666667000001,0.69444444445,0.69444444445,0.75,0.69444444445,0.7777777778,0.75,0.8611111111,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
264198,0.45833333330000003,0.7083333333,0.7083333333,0.9166666667,0.9166666666500001,0.8333333333,0.9166666667,0.9166666667,1,0.875,0.9583333333499999,0.9166666666500001,0.47222222225,0.41666666664999996,0.6111111111,0.6111111111,0.7777777778,0.8333333333,0.8333333333499999,0.88888888885,0.91666666665,0.8888888889,0.7777777777999999,0.9444444444,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778
7dd15b,0.5,0.625,0.625,0.5416666667,0.7916666667,0.75,0.8333333333,0.8333333333499999,0.8333333333499999,0.7083333333,0.7916666667,0.875,0.36111111110000005,0.2777777778,0.3888888889,0.47222222225,0.5277777778,0.47222222225,0.4722222222,0.36111111110000005,0.5,0.3888888889,0.41666666665,0.47222222225,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889
3e21d4,0.625,0.6666666667,0.75,0.875,0.7916666667,0.875,0.9166666667,0.7916666666500001,0.9583333333499999,0.9166666666500001,0.9583333333499999,0.7916666667,0.33333333330000003,0.3611111111,0.5555555556,0.55555555555,0.47222222225,0.6666666666500001,0.5555555556,0.5833333333,0.6666666666500001,0.80555555555,0.75,0.6388888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111
1b19bb,0.3333333333,0.5833333333499999,0.58333333335,0.7916666666500001,0.875,0.7916666666500001,0.8333333333,0.9166666667,0.9583333333499999,0.9166666667,0.9583333333499999,0.9166666666500001,0.36111111110000005,0.3611111111,0.41666666665,0.5,0.5,0.5833333333,0.6666666666500001,0.5277777778,0.5833333333,0.5,0.6666666666500001,0.6388888889,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111,0.4861111111
7a2728,0.33333333330000003,0.5833333333,0.5416666666500001,0.45833333335000004,0.5416666666500001,0.6666666666500001,0.7083333333499999,0.7083333333,0.7916666667,0.8333333333499999,0.9166666667,0.8333333333499999,0.3333333333,0.38888888885,0.47222222225,0.69444444445,0.5833333333499999,0.6111111111,0.61111111115,0.5,0.5277777778,0.5833333333499999,0.6388888889,0.69444444445,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333
