"model","setSize","model.ID","estimate","estimate.type"
"bias","s3",3359,0.27266666666,"y-int"
"bias","s3",3359,0.0478095238114286,"slope"
"bias","s3",3360,0.214888888846667,"y-int"
"bias","s3",3360,0.0863809523914286,"slope"
"bias","s3",3361,0.450000000033334,"y-int"
"bias","s3",3361,0.0142857142857142,"slope"
"bias","s3",3362,0.216888888913333,"y-int"
"bias","s3",3362,0.0605714285628571,"slope"
"bias","s3",3363,0.25822222222,"y-int"
"bias","s3",3363,0.0478095238085714,"slope"
"bias","s3",3364,0.178222222226667,"y-int"
"bias","s3",3364,0.0997142857114286,"slope"
"bias","s3",3365,0.414888888886667,"y-int"
"bias","s3",3365,0.0278095238085714,"slope"
"bias","s3",3366,0.199555555573333,"y-int"
"bias","s3",3366,0.0679047619028571,"slope"
"bias","s3",3367,0.264444444466667,"y-int"
"bias","s3",3367,0.0461904761857143,"slope"
"bias","s3",3368,0.17866666664,"y-int"
"bias","s3",3368,0.10085714286,"slope"
"bias","s3",3369,0.398000000006667,"y-int"
"bias","s3",3369,0.0220000000028571,"slope"
"bias","s3",3370,0.20777777776,"y-int"
"bias","s3",3370,0.0680952380971429,"slope"
"bias","s3",3371,0.281111111106667,"y-int"
"bias","s3",3371,0.0385714285742857,"slope"
"bias","s3",3372,0.17977777776,"y-int"
"bias","s3",3372,0.0941904761971428,"slope"
"bias","s3",3373,0.429555555606667,"y-int"
"bias","s3",3373,0.0236190476028571,"slope"
"bias","s3",3374,0.227777777773333,"y-int"
"bias","s3",3374,0.0585714285742857,"slope"
"bias","s3",3375,0.254888888946667,"y-int"
"bias","s3",3375,0.0501904761771429,"slope"
"bias","s3",3376,0.18777777774,"y-int"
"bias","s3",3376,0.0847619047742857,"slope"
"bias","s3",3377,0.469333333366667,"y-int"
"bias","s3",3377,0.0106666666571428,"slope"
"bias","s3",3378,0.23777777782,"y-int"
"bias","s3",3378,0.0447619047514286,"slope"
"bias","s3",3379,0.291777777753333,"y-int"
"bias","s3",3379,0.02647619048,"slope"
"bias","s3",3380,0.214222222233333,"y-int"
"bias","s3",3380,0.0808571428571428,"slope"
"bias","s3",3381,0.43911111116,"y-int"
"bias","s3",3381,0.0115238095114285,"slope"
"bias","s3",3382,0.298000000046667,"y-int"
"bias","s3",3382,0.0239047618914286,"slope"
