,set3_learn,set6_learn,set3_test,set6_test,bll,alpha,egs,imag,ans,strtg
27,"[0.29666667 0.41       0.45666667 0.46666667 0.56333333 0.58333333
 0.60666667 0.68666667 0.74       0.79666667 0.79666667 0.8       ]","[0.32166667 0.385      0.45166667 0.545      0.57666667 0.64
 0.70666667 0.795      0.83166667 0.87333333 0.895      0.90666667]",1.0,1.0,0.3,0.05,0.2,0.1,0.3,0.19696969696969696
28,"[0.27666667 0.42333333 0.42666667 0.48       0.6        0.56
 0.66333333 0.68333333 0.73666667 0.76333333 0.8        0.83666667]","[0.36166667 0.405      0.49666667 0.57833333 0.59333333 0.65666667
 0.72833333 0.75166667 0.805      0.85666667 0.88       0.89666667]",0.75,0.9166666666666666,0.3,0.05,0.2,0.1,0.4,0.3181818181818182
29,"[0.26333333 0.32       0.40666667 0.43333333 0.54       0.62333333
 0.60666667 0.7        0.75666667 0.76       0.78       0.81666667]","[0.34166667 0.39666667 0.43833333 0.54833333 0.55833333 0.62666667
 0.68666667 0.74       0.775      0.80333333 0.87833333 0.89666667]",1.0,0.9166666666666666,0.3,0.05,0.2,0.1,0.5,0.15151515151515152
30,"[0.28666667 0.37333333 0.41666667 0.53333333 0.60666667 0.63666667
 0.75       0.78666667 0.76       0.81666667 0.83333333 0.85333333]","[0.34666667 0.49333333 0.56       0.68166667 0.70666667 0.76
 0.80333333 0.86833333 0.90833333 0.93333333 0.93666667 0.96166667]",0.8333333333333333,0.75,0.3,0.05,0.2,0.2,0.1,0.25
31,"[0.25666667 0.37333333 0.46       0.54       0.57       0.64333333
 0.65333333 0.75666667 0.74333333 0.77333333 0.82666667 0.84333333]","[0.32       0.455      0.52166667 0.60833333 0.66       0.74166667
 0.835      0.84666667 0.88       0.92666667 0.94166667 0.95333333]",0.7499999999999999,1.0,0.3,0.05,0.2,0.2,0.2,0.3106060606060606
32,"[0.31666667 0.44666667 0.48       0.54       0.57       0.62
 0.70666667 0.73       0.78       0.80666667 0.81666667 0.84333333]","[0.335      0.43666667 0.54       0.59166667 0.66833333 0.725
 0.815      0.84333333 0.86166667 0.90833333 0.945      0.94      ]",1.0,1.0,0.3,0.05,0.2,0.2,0.3,0.21212121212121213
33,"[0.28333333 0.4        0.47333333 0.51333333 0.56333333 0.65
 0.66666667 0.71333333 0.73333333 0.78       0.81333333 0.86      ]","[0.33166667 0.46833333 0.535      0.60833333 0.67833333 0.705
 0.75666667 0.82       0.865      0.885      0.91166667 0.93833333]",0.9166666666666666,0.9166666666666666,0.3,0.05,0.2,0.2,0.4,0.32575757575757575
34,"[0.25666667 0.33666667 0.41333333 0.53333333 0.57666667 0.59333333
 0.62666667 0.68       0.74       0.73666667 0.77       0.82      ]","[0.29666667 0.42       0.48833333 0.57333333 0.58166667 0.69666667
 0.73333333 0.77166667 0.825      0.86166667 0.905      0.92333333]",0.8333333333333333,1.0,0.3,0.05,0.2,0.2,0.5,0.21212121212121213
35,"[0.30666667 0.38666667 0.47666667 0.51666667 0.56333333 0.67666667
 0.68333333 0.71       0.79666667 0.78666667 0.84333333 0.87333333]","[0.345      0.47166667 0.57166667 0.63166667 0.70166667 0.78166667
 0.855      0.88166667 0.91166667 0.93       0.96333333 0.965     ]",1.0,1.0,0.3,0.05,0.2,0.3,0.1,0.18181818181818182
36,"[0.30333333 0.36666667 0.46666667 0.57333333 0.6        0.66
 0.73       0.79       0.8        0.83       0.80666667 0.87333333]","[0.33       0.45333333 0.575      0.64166667 0.70166667 0.77166667
 0.84166667 0.85666667 0.895      0.92       0.94166667 0.96833333]",1.0,1.0,0.3,0.05,0.2,0.3,0.2,0.25757575757575757
37,"[0.26333333 0.34333333 0.42       0.45333333 0.56       0.58666667
 0.61       0.71333333 0.69       0.73333333 0.82       0.83666667]","[0.335      0.47166667 0.575      0.635      0.73       0.78333333
 0.83666667 0.86666667 0.885      0.91666667 0.94       0.96      ]",1.0,0.9166666666666666,0.3,0.05,0.2,0.3,0.3,0.23484848484848486
38,"[0.28       0.34333333 0.46       0.51333333 0.58333333 0.62
 0.68666667 0.73666667 0.76333333 0.78333333 0.79666667 0.81333333]","[0.30833333 0.44333333 0.53166667 0.61166667 0.69833333 0.73666667
 0.79833333 0.86833333 0.86666667 0.93833333 0.94833333 0.94833333]",0.9166666666666666,1.0,0.3,0.05,0.2,0.3,0.4,0.23484848484848486
39,"[0.32666667 0.35666667 0.46       0.54666667 0.59       0.66666667
 0.66       0.73666667 0.75       0.78666667 0.85       0.86333333]","[0.32666667 0.44166667 0.56666667 0.63833333 0.70333333 0.72833333
 0.78666667 0.81166667 0.88166667 0.89166667 0.91833333 0.94333333]",0.8333333333333333,1.0,0.3,0.05,0.2,0.3,0.5,0.1590909090909091
40,"[0.24333333 0.35333333 0.50333333 0.54333333 0.6        0.66
 0.75333333 0.79       0.78666667 0.84333333 0.84333333 0.87333333]","[0.30166667 0.46333333 0.55       0.665      0.72666667 0.76333333
 0.84166667 0.88166667 0.89833333 0.92333333 0.93833333 0.95      ]",1.0,1.0,0.3,0.05,0.2,0.4,0.1,0.2196969696969697
41,"[0.30666667 0.37666667 0.47666667 0.52       0.57333333 0.64
 0.73666667 0.73       0.77       0.77       0.82666667 0.87666667]","[0.295      0.45833333 0.55833333 0.64333333 0.70166667 0.79833333
 0.845      0.87333333 0.895      0.90833333 0.915      0.95333333]",0.9166666666666666,1.0,0.3,0.05,0.2,0.4,0.2,0.2727272727272727
42,"[0.25666667 0.33666667 0.45       0.51666667 0.60666667 0.63666667
 0.65333333 0.75333333 0.79333333 0.80666667 0.84333333 0.86666667]","[0.31       0.455      0.585      0.63833333 0.71333333 0.76333333
 0.83833333 0.85833333 0.89666667 0.935      0.96       0.95333333]",1.0,1.0,0.3,0.05,0.2,0.4,0.3,0.19696969696969696
43,"[0.26333333 0.38333333 0.47       0.51666667 0.54       0.66666667
 0.70666667 0.78666667 0.82666667 0.84666667 0.84333333 0.86666667]","[0.32666667 0.44166667 0.565      0.64       0.69333333 0.765
 0.84       0.85833333 0.9        0.905      0.93       0.95166667]",0.8333333333333334,1.0,0.3,0.05,0.2,0.4,0.4,0.17424242424242425
44,"[0.23666667 0.34333333 0.47666667 0.51333333 0.60333333 0.57333333
 0.72666667 0.74666667 0.75666667 0.81       0.81       0.88666667]","[0.30166667 0.465      0.55333333 0.63833333 0.67       0.76833333
 0.81833333 0.84666667 0.86833333 0.90833333 0.93166667 0.94333333]",0.9166666666666666,1.0,0.3,0.05,0.2,0.4,0.5,0.21212121212121213
45,"[0.27       0.40333333 0.5        0.55666667 0.57       0.66
 0.70666667 0.76       0.78666667 0.84666667 0.86       0.85      ]","[0.31333333 0.47166667 0.60166667 0.72833333 0.72833333 0.8
 0.84333333 0.88       0.89833333 0.93666667 0.94166667 0.96333333]",1.0,1.0,0.3,0.05,0.2,0.5,0.1,0.23484848484848486
46,"[0.27666667 0.35666667 0.46       0.56666667 0.55666667 0.64666667
 0.73333333 0.74333333 0.82       0.81666667 0.84666667 0.88666667]","[0.30333333 0.44333333 0.55333333 0.64333333 0.74666667 0.77833333
 0.83666667 0.85333333 0.92       0.935      0.96166667 0.96666667]",1.0,1.0,0.3,0.05,0.2,0.5,0.2,0.16666666666666666
47,"[0.27333333 0.38666667 0.48333333 0.52       0.57666667 0.63
 0.68666667 0.77333333 0.79333333 0.79666667 0.84       0.85666667]","[0.29166667 0.47       0.6        0.63666667 0.72833333 0.79166667
 0.84333333 0.88       0.90333333 0.96166667 0.94666667 0.96666667]",1.0,1.0,0.3,0.05,0.2,0.5,0.3,0.21212121212121213
48,"[0.29333333 0.36333333 0.43333333 0.53666667 0.59333333 0.61666667
 0.71333333 0.73333333 0.79333333 0.82333333 0.84333333 0.85      ]","[0.33333333 0.47166667 0.575      0.66166667 0.71833333 0.76666667
 0.83333333 0.89166667 0.895      0.945      0.95166667 0.96      ]",1.0,1.0,0.3,0.05,0.2,0.5,0.4,0.25757575757575757
49,"[0.28666667 0.34666667 0.41666667 0.51666667 0.61       0.60333333
 0.68666667 0.74333333 0.77666667 0.81666667 0.84333333 0.85666667]","[0.30333333 0.48666667 0.57333333 0.65       0.72333333 0.765
 0.845      0.865      0.88333333 0.92333333 0.93833333 0.96      ]",1.0,1.0,0.3,0.05,0.2,0.5,0.5,0.29545454545454547
