subject,acc,RT,Code,seq,actionseq,timeseq,trial
15006,1,0.604199983179569,2,1,2,621,78
15006,1,0.617647832375951,1,6,1,622,78
15006,1,0.822490187070798,3,4,3,623,78
15006,1,0.811237780726515,1,5,1,624,78
15006,0,0.583774827449815,2,1,3,625,39
15006,1,0.37407427362632,2,2,2,626,39
15006,0,0.269049355585594,2,3,3,627,39
15006,1,0.80702490391559,3,1,3,628,39
15006,1,0.620561725459993,3,3,3,629,39
15006,1,0.505311400076607,2,2,2,630,39
15006,1,0.490777215658454,2,2,2,631,39
15006,1,0.509053114656126,3,3,3,632,39
15006,1,0.638531320902985,3,1,3,633,39
15006,1,0.554882863740204,3,1,3,634,39
15006,1,0.506183803954627,2,2,2,635,39
15006,1,0.379716674011433,3,3,3,636,39
15006,1,0.722551832674071,3,3,3,637,39
15006,1,0.603427649184596,2,2,2,638,39
15006,1,0.504853388032643,3,1,3,639,39
15006,1,0.506433978589484,2,2,2,640,39
15006,1,0.395857428695308,3,3,3,641,39
15006,1,0.546119053615257,3,1,3,642,39
15006,1,0.498303623491665,3,1,3,643,39
15006,1,0.467785845365142,2,2,2,644,39
15006,1,0.502654737851117,3,3,3,645,39
15006,1,0.520141945249634,2,2,2,646,39
15006,1,0.425029074773192,3,3,3,647,39
15006,1,0.333928299951367,3,1,3,648,39
15006,1,0.454169930162607,3,1,3,649,39
15006,1,0.377693787508179,3,3,3,650,39
15006,1,0.320514448860195,2,2,2,651,39
15006,1,0.505411790683866,3,1,3,652,39
15006,1,0.506976344389841,2,2,2,653,39
15006,1,0.348489426280139,3,3,3,654,39
15006,1,0.548216992494417,3,3,3,655,39
15006,1,0.451455856033135,2,2,2,656,39
15006,1,0.534976018534508,3,1,3,657,39
15006,1,0.471286686661188,3,1,3,658,39
15006,1,0.522113513841759,3,3,3,659,39
15006,1,0.538901194493519,3,1,3,660,39
15006,1,0.443168660684023,2,2,2,661,39
15006,1,0.447224697214551,2,2,2,662,39
15006,1,0.531545097823255,3,3,3,663,39
15006,0,0.564012955204817,2,1,3,664,78
15006,0,0.594870072760386,2,2,3,665,78
15006,0,0.48122952497215,2,3,1,666,78
15006,0,0.45122043529409,2,4,1,667,78
15006,1,0.566679560288321,2,5,2,668,78
15006,1,0.421602002927102,2,6,2,669,78
15006,1,0.858615405217279,2,5,2,670,78
15006,0,0.845861951063853,1,1,3,671,78
15006,0,1.26614187724772,3,4,1,672,78
15006,-1,-1,-1,2,3,673,78
15006,1,0.620983173517743,2,5,2,674,78
15006,1,0.39387335133506,2,6,2,675,78
15006,0,0.768064373143716,3,3,1,676,78
15006,1,0.630692836217349,1,3,1,677,78
15006,1,1.10691983057768,2,6,2,678,78
15006,0,0.732223327679094,1,2,3,679,78
15006,1,0.932439375930699,3,1,3,680,78
15006,0,0.852484522853047,3,4,1,681,78
15006,1,1.23993447990506,3,1,3,682,78
15006,1,1.03575669167913,3,2,3,683,78
15006,1,0.951861587993335,1,3,1,684,78
15006,1,0.519218864938011,1,4,1,685,78
15006,1,0.456169723620405,2,5,2,686,78
15006,1,0.827651161613176,2,6,2,687,78
15006,1,0.704345854261192,3,1,3,688,78
15006,1,0.873770215228433,1,3,1,689,78
15006,1,1.24451524170581,2,5,2,690,78
15006,1,0.976410135015612,3,2,3,691,78
15006,1,0.847243364114547,1,4,1,692,78
15006,1,0.563112967967754,1,4,1,693,78
15006,0,0.562766893039225,2,2,3,694,78
15006,1,0.674256259633694,2,6,2,695,78
15006,1,0.988985901058186,3,2,3,696,78
15006,1,0.731125445890939,3,1,3,697,78
15006,1,0.803141744458117,1,3,1,698,78
15006,0,0.696625400683843,3,6,2,699,78
15006,1,0.610775406676112,2,5,2,700,78
15006,0,0.704289404588053,3,3,1,701,78
15006,1,0.601673219323857,2,5,2,702,78
15006,1,0.711150604503928,3,1,3,703,78
15006,1,0.544665154098766,1,4,1,704,78
15006,0,0.960582098661689,3,6,2,705,78
15006,1,0.544155182695249,2,6,2,706,78
15006,1,1.26424568175571,3,2,3,707,78
15006,1,1.02762665733462,1,3,1,708,78
15006,1,0.688245833123801,1,4,1,709,78
15006,1,0.746465962467482,3,1,3,710,78
15006,1,0.866430796886561,2,5,2,711,78
15006,1,0.933234803000232,3,2,3,712,78
15006,1,0.661275403137552,1,4,1,713,78
15006,1,0.624835862981854,2,5,2,714,78
15006,1,0.653610116307391,3,1,3,715,78
15006,0,1.11295256752055,1,6,2,716,78
15006,1,0.818458847235888,3,1,3,717,78
15006,1,0.599245242337929,1,3,1,718,78
15006,1,0.788598900137004,1,3,1,719,78
15006,1,0.986790778930299,3,2,3,720,78
15006,1,0.584798939758912,2,5,2,721,78
15006,1,0.58293866677559,1,4,1,722,78
15006,0,0.725106179888826,3,6,2,723,78
15006,1,0.73393734471756,3,2,3,724,78
15006,1,0.805989565793425,3,1,3,725,78
15006,1,0.907305484404787,2,6,2,726,78
15006,1,0.492738841421669,2,5,2,727,78
15006,1,0.510934876976535,2,6,2,728,78
15006,1,0.592522921448108,1,3,1,729,78
15006,1,0.606666127830977,1,4,1,730,78
15006,1,0.42802154837409,1,4,1,731,78
15006,1,0.608992431254592,2,5,2,732,78
15006,1,0.782513562357053,1,3,1,733,78
15006,1,0.724593321880093,3,2,3,734,78
15006,1,0.525305485673016,3,2,3,735,78
15006,1,0.462227478041314,3,1,3,736,78
15006,1,0.673762645863462,1,4,1,737,78
15006,1,1.0205614688748,3,1,3,738,78
15006,1,0.601270694722189,2,6,2,739,78
15006,1,0.630586672370555,1,4,1,740,78
15006,1,0.61145985883195,2,5,2,741,78
15006,0,0.894716568145668,1,1,2,742,39
