subjects,s3.1.behav,s3.2.behav,s3.3.behav,s3.4.behav,s3.5.behav,s3.6.behav,s3.7.behav,s3.8.behav,s3.9.behav,s3.10.behav,s3.11.behav,s3.12.behav,s6.1.behav,s6.2.behav,s6.3.behav,s6.4.behav,s6.5.behav,s6.6.behav,s6.7.behav,s6.8.behav,s6.9.behav,s6.10.behav,s6.11.behav,s6.12.behav,s3.13.behav,s6.13.behav,model,s3.1.model,s3.2.model,s3.3.model,s3.4.model,s3.5.model,s3.6.model,s3.7.model,s3.8.model,s3.9.model,s3.10.model,s3.11.model,s3.12.model,s6.1.model,s6.2.model,s6.3.model,s6.4.model,s6.5.model,s6.6.model,s6.7.model,s6.8.model,s6.9.model,s6.10.model,s6.11.model,s6.12.model,bll,alpha,egs,imag,ans,bias,s3.13.model,s6.13.model
6213,0.416666666666667,0.541666666666667,0.875,0.916666666666667,0.916666666666667,0.791666666666667,0.916666666666667,0.875,0.875,0.875,0.958333333333333,0.791666666666667,0.305555555555556,0.555555555555556,0.666666666666667,0.527777777777778,0.666666666666667,0.722222222222222,0.75,0.777777777777778,0.916666666666667,0.777777777777778,0.777777777777778,0.805555555555556,0.416666666666667,0.840277777777778,metaRL,0.2566666667,0.3666666667,0.52,0.5566666667,0.7066666667,0.7666666667,0.8333333333,0.9066666667,0.8766666667,0.88,0.89,0.9266666667,0.3533333333,0.455,0.5133333333,0.6583333333,0.7,0.7933333333,0.8433333333,0.8883333333,0.91,0.9333333333,0.955,0.965,0.7,0.15,0.1,0.1,0.1,0.3182067953,0.435,0.85
6214,0.458333333333333,0.666666666666667,0.833333333333333,0.916666666666667,0.791666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.875,0.916666666666667,0.277777777777778,0.555555555555556,0.388888888888889,0.527777777777778,0.583333333333333,0.611111111111111,0.611111111111111,0.611111111111111,0.75,0.75,0.722222222222222,0.694444444444444,0.680555555555556,0.548611111111111,biased,0.35,0.5566666667,0.73,0.8133333333,0.8966666667,0.7266666667,0.8033333333,0.9566666667,0.97,0.99,0.7633333333,0.8433333333,0.2766666667,0.355,0.4483333333,0.5466666667,0.5666666667,0.7116666667,0.6133333333,0.6483333333,0.8233333333,0.7866666667,0.705,0.8066666667,0.7,0.15,0.2,0.2,0.1,0.2,0.6475,0.5091666667
6215,0.375,0.666666666666667,0.833333333333333,0.958333333333333,0.958333333333333,0.916666666666667,0.958333333333333,1,0.958333333333333,1,1,0.916666666666667,0.444444444444444,0.666666666666667,0.861111111111111,0.833333333333333,0.916666666666667,0.972222222222222,0.972222222222222,0.972222222222222,0.972222222222222,0.972222222222222,0.972222222222222,0.944444444444444,0.708333333333333,0.847222222222222,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6216,0.333333333333333,0.666666666666667,0.875,0.791666666666667,0.958333333333333,0.916666666666667,0.791666666666667,0.916666666666667,0.875,0.958333333333333,0.916666666666667,0.916666666666667,0.388888888888889,0.583333333333333,0.694444444444444,0.833333333333333,0.75,0.833333333333333,0.888888888888889,0.916666666666667,0.888888888888889,0.861111111111111,0.972222222222222,0.888888888888889,0.861111111111111,0.888888888888889,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6217,0.458333333333333,0.625,0.916666666666667,0.916666666666667,1,1,1,0.958333333333333,0.875,1,1,1,0.416666666666667,0.666666666666667,0.694444444444444,0.888888888888889,0.972222222222222,0.944444444444444,1,0.972222222222222,0.972222222222222,1,1,1,0.930555555555556,0.986111111111111,LTM,0.3433333333,0.57,0.7566666667,0.84,0.8866666667,0.92,0.9433333333,0.9666666667,0.98,0.99,0.9933333333,0.99,0.4016666667,0.6166666667,0.7316666667,0.8433333333,0.8916666667,0.93,0.9583333333,0.9716666667,0.9783333333,0.9833333333,0.99,0.9933333333,0.5,NA,NA,0.4,0.5,NA,0.9925,0.9933333333
6218,0.5,0.666666666666667,0.791666666666667,0.833333333333333,0.875,0.916666666666667,0.958333333333333,0.958333333333333,0.875,0.916666666666667,0.958333333333333,0.916666666666667,0.194444444444444,0.444444444444444,0.5,0.611111111111111,0.583333333333333,0.555555555555556,0.444444444444444,0.833333333333333,0.722222222222222,0.666666666666667,0.888888888888889,0.916666666666667,0.777777777777778,0.736111111111111,biased,0.3733333333,0.5233333333,0.6833333333,0.79,0.9066666667,0.7233333333,0.8166666667,0.96,0.9666666667,0.98,0.7733333333,0.8966666667,0.2733333333,0.445,0.47,0.6066666667,0.5666666667,0.7366666667,0.6383333333,0.7466666667,0.8633333333,0.8633333333,0.815,0.8716666667,0.7,0.15,0.1,0.3,0.1,0.2,0.7841666667,0.7466666667
6219,0.333333333333333,0.666666666666667,0.875,0.791666666666667,0.958333333333333,0.916666666666667,0.791666666666667,0.916666666666667,0.875,0.958333333333333,0.916666666666667,0.916666666666667,0.388888888888889,0.583333333333333,0.694444444444444,0.833333333333333,0.75,0.833333333333333,0.888888888888889,0.916666666666667,0.888888888888889,0.861111111111111,0.972222222222222,0.888888888888889,0.861111111111111,0.888888888888889,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6220,0.333333333333333,0.5,0.75,0.875,0.875,1,0.916666666666667,0.958333333333333,0.916666666666667,1,0.958333333333333,0.958333333333333,0.722222222222222,0.75,0.805555555555556,0.805555555555556,0.722222222222222,0.833333333333333,0.888888888888889,0.805555555555556,0.888888888888889,0.75,0.833333333333333,0.916666666666667,0.777777777777778,0.861111111111111,LTM,0.34,0.5133333333,0.6866666667,0.7866666667,0.8533333333,0.89,0.9233333333,0.9333333333,0.9533333333,0.9733333333,0.9766666667,0.98,0.3316666667,0.455,0.625,0.735,0.8,0.8316666667,0.8716666667,0.8966666667,0.9116666667,0.9416666667,0.95,0.955,0.7,NA,NA,0.1,0.1,NA,0.8241666667,0.8033333333
6223,0.333333333333333,0.625,1,0.958333333333333,0.958333333333333,0.958333333333333,1,1,0.958333333333333,1,0.958333333333333,0.958333333333333,0.388888888888889,0.694444444444444,0.805555555555556,0.888888888888889,0.916666666666667,0.944444444444444,1,0.972222222222222,0.972222222222222,0.972222222222222,0.944444444444444,0.972222222222222,0.513888888888889,0.930555555555556,metaRL,0.3,0.45,0.5733333333,0.7033333333,0.7966666667,0.84,0.8733333333,0.9033333333,0.9166666667,0.9233333333,0.95,0.9433333333,0.335,0.485,0.6233333333,0.74,0.8333333333,0.91,0.945,0.9633333333,0.985,0.9816666667,0.99,0.99,0.7,0.25,0.1,0.3,0.4,0.3221873178,0.5516666667,0.9708333333
6225,0.416666666666667,0.666666666666667,0.833333333333333,0.875,0.958333333333333,0.875,0.958333333333333,1,0.958333333333333,1,0.958333333333333,1,0.361111111111111,0.611111111111111,0.75,0.75,0.805555555555556,0.805555555555556,0.861111111111111,0.833333333333333,0.888888888888889,0.972222222222222,0.944444444444444,0.888888888888889,0.694444444444444,0.875,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6226,0.458333333333333,0.625,0.75,1,0.958333333333333,0.958333333333333,1,0.875,0.958333333333333,0.958333333333333,1,1,0.333333333333333,0.472222222222222,0.75,0.777777777777778,0.555555555555556,0.777777777777778,0.722222222222222,0.805555555555556,0.944444444444444,0.944444444444444,0.916666666666667,0.972222222222222,0.875,0.736111111111111,LTM,0.34,0.5133333333,0.6866666667,0.7866666667,0.8533333333,0.89,0.9233333333,0.9333333333,0.9533333333,0.9733333333,0.9766666667,0.98,0.3316666667,0.455,0.625,0.735,0.8,0.8316666667,0.8716666667,0.8966666667,0.9116666667,0.9416666667,0.95,0.955,0.7,NA,NA,0.1,0.1,NA,0.8241666667,0.8033333333
6230,0.208333333333333,0.458333333333333,0.708333333333333,0.875,0.833333333333333,0.916666666666667,0.833333333333333,0.75,0.791666666666667,0.875,0.916666666666667,0.833333333333333,0.0833333333333333,0.333333333333333,0.583333333333333,0.611111111111111,0.722222222222222,0.722222222222222,0.75,0.638888888888889,0.805555555555556,0.777777777777778,0.805555555555556,0.75,0.791666666666667,0.840277777777778,biased,0.2733333333,0.4233333333,0.5166666667,0.68,0.7766666667,0.8233333333,0.7,0.6566666667,0.7533333333,0.7666666667,0.92,0.9433333333,0.2766666667,0.4116666667,0.5466666667,0.5016666667,0.685,0.7766666667,0.8083333333,0.8066666667,0.8083333333,0.7416666667,0.7966666667,0.88,0.7,0.25,0.2,0.5,0.5,0.8,0.8158333333,0.8058333333
6231,0.291666666666667,0.708333333333333,0.916666666666667,0.833333333333333,0.958333333333333,0.958333333333333,0.916666666666667,0.958333333333333,0.916666666666667,0.833333333333333,0.958333333333333,0.75,0.638888888888889,0.694444444444444,0.888888888888889,0.916666666666667,0.972222222222222,0.944444444444444,0.916666666666667,0.916666666666667,0.833333333333333,0.972222222222222,0.888888888888889,0.972222222222222,0.638888888888889,0.826388888888889,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6234,0.375,0.666666666666667,0.875,0.958333333333333,0.875,0.833333333333333,0.833333333333333,0.916666666666667,0.958333333333333,0.916666666666667,1,1,0.444444444444444,0.472222222222222,0.555555555555556,0.75,0.805555555555556,0.666666666666667,0.861111111111111,0.833333333333333,0.75,0.916666666666667,0.916666666666667,0.888888888888889,0.861111111111111,0.631944444444444,LTM,0.39,0.61,0.7033333333,0.7866666667,0.8566666667,0.8966666667,0.94,0.9566666667,0.9666666667,0.9733333333,0.9866666667,0.99,0.3316666667,0.445,0.615,0.6916666667,0.7933333333,0.8316666667,0.8633333333,0.9116666667,0.915,0.9416666667,0.955,0.9683333333,0.7,NA,NA,0.1,0.2,NA,0.775,0.7691666667
6235,0.166666666666667,0.291666666666667,0.5,0.541666666666667,0.75,0.666666666666667,0.791666666666667,0.666666666666667,0.708333333333333,0.791666666666667,0.833333333333333,0.833333333333333,0.277777777777778,0.277777777777778,0.277777777777778,0.361111111111111,0.333333333333333,0.444444444444444,0.472222222222222,0.305555555555556,0.5,0.472222222222222,0.5,0.5,0.583333333333333,0.430555555555556,biased,0.3433333333,0.35,0.48,0.4033333333,0.5966666667,0.6866666667,0.74,0.63,0.7733333333,0.6733333333,0.9066666667,0.9233333333,0.28,0.3266666667,0.4566666667,0.4416666667,0.4466666667,0.405,0.5066666667,0.515,0.5416666667,0.5966666667,0.53,0.6683333333,0.5,0.05,0.4,0.1,0.1,0.4,0.5125,0.4958333333
6238,0.291666666666667,0.625,0.833333333333333,0.916666666666667,1,1,1,0.833333333333333,0.958333333333333,0.958333333333333,0.958333333333333,1,0.416666666666667,0.611111111111111,0.694444444444444,0.722222222222222,0.833333333333333,0.916666666666667,0.944444444444444,0.888888888888889,0.916666666666667,0.916666666666667,0.888888888888889,0.861111111111111,0.819444444444444,0.868055555555556,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6241,0.291666666666667,0.625,0.791666666666667,0.833333333333333,0.875,0.958333333333333,0.791666666666667,0.958333333333333,0.916666666666667,0.958333333333333,0.916666666666667,0.916666666666667,0.388888888888889,0.527777777777778,0.694444444444444,0.694444444444444,0.694444444444444,0.805555555555556,0.75,0.833333333333333,0.833333333333333,0.888888888888889,0.888888888888889,0.944444444444444,0.597222222222222,0.833333333333333,metaRL,0.28,0.4333333333,0.54,0.6466666667,0.6933333333,0.8133333333,0.8433333333,0.87,0.9066666667,0.93,0.9733333333,0.98,0.345,0.4816666667,0.5566666667,0.6416666667,0.7233333333,0.735,0.8266666667,0.8716666667,0.885,0.91,0.945,0.9566666667,0.7,0.1,0.1,0.2,0.1,0.319209714,0.5783333333,0.8675
6242,0.208333333333333,0.541666666666667,0.541666666666667,0.666666666666667,0.583333333333333,1,0.958333333333333,0.833333333333333,0.791666666666667,0.875,0.875,0.916666666666667,0.416666666666667,0.444444444444444,0.611111111111111,0.638888888888889,0.75,0.805555555555556,0.833333333333333,0.833333333333333,0.805555555555556,0.777777777777778,0.916666666666667,0.888888888888889,0.847222222222222,0.854166666666667,metaRL,0.2466666667,0.4,0.4633333333,0.59,0.6266666667,0.7533333333,0.7866666667,0.8266666667,0.8166666667,0.8666666667,0.8866666667,0.8566666667,0.335,0.4683333333,0.5483333333,0.6483333333,0.7266666667,0.78,0.8,0.8233333333,0.8816666667,0.89,0.8966666667,0.9166666667,0.7,0.25,0.5,0.5,0.2,0.3240772232,0.8416666667,0.8958333333
6244,0.416666666666667,0.375,0.75,0.75,0.916666666666667,0.958333333333333,0.916666666666667,0.916666666666667,1,0.916666666666667,0.958333333333333,0.916666666666667,0.277777777777778,0.333333333333333,0.527777777777778,0.5,0.583333333333333,0.666666666666667,0.5,0.583333333333333,0.638888888888889,0.861111111111111,0.777777777777778,0.861111111111111,0.833333333333333,0.652777777777778,biased,0.37,0.5266666667,0.6733333333,0.8166666667,0.8933333333,0.74,0.78,0.9733333333,0.9833333333,0.9933333333,0.77,0.8066666667,0.33,0.3766666667,0.49,0.6033333333,0.5833333333,0.7583333333,0.6466666667,0.6633333333,0.8933333333,0.8333333333,0.705,0.855,0.7,0.05,0.1,0.3,0.1,0.2,0.8141666667,0.655
6245,0.375,0.75,0.958333333333333,1,0.916666666666667,1,1,0.958333333333333,1,0.958333333333333,0.916666666666667,0.875,0.277777777777778,0.555555555555556,0.722222222222222,0.805555555555556,0.888888888888889,0.888888888888889,0.888888888888889,0.944444444444444,0.972222222222222,0.972222222222222,0.944444444444444,1,0.972222222222222,0.9375,LTM,0.3566666667,0.58,0.7533333333,0.8266666667,0.89,0.92,0.9533333333,0.9666666667,0.9866666667,0.9933333333,0.9933333333,0.9933333333,0.3383333333,0.5616666667,0.7066666667,0.8133333333,0.8733333333,0.9183333333,0.9483333333,0.9616666667,0.9666666667,0.9816666667,0.99,0.9916666667,0.7,NA,NA,0.3,0.3,NA,0.9858333333,0.98
6246,0.208333333333333,0.625,0.875,0.916666666666667,0.916666666666667,1,1,0.875,0.916666666666667,0.958333333333333,0.958333333333333,1,0.444444444444444,0.75,0.861111111111111,0.944444444444444,1,0.944444444444444,0.916666666666667,0.916666666666667,0.944444444444444,0.972222222222222,0.972222222222222,0.944444444444444,0.791666666666667,0.847222222222222,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6247,0.208333333333333,0.458333333333333,0.625,0.625,0.583333333333333,0.875,0.791666666666667,0.791666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.875,0.333333333333333,0.388888888888889,0.416666666666667,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.5,0.472222222222222,0.416666666666667,0.361111111111111,0.708333333333333,0.402777777777778,biased,0.2933333333,0.43,0.66,0.63,0.32,0.39,0.7933333333,0.6933333333,0.4733333333,0.7233333333,0.6666666667,0.6533333333,0.33,0.335,0.3883333333,0.4166666667,0.385,0.3933333333,0.45,0.5033333333,0.45,0.5883333333,0.56,0.5316666667,0.4,0.05,0.2,0.1,0.2,0.6,0.6716666667,0.4741666667
6250,0.333333333333333,0.458333333333333,0.833333333333333,0.833333333333333,0.916666666666667,0.875,0.958333333333333,1,0.916666666666667,0.875,1,0.958333333333333,0.333333333333333,0.638888888888889,0.722222222222222,0.694444444444444,0.805555555555556,0.777777777777778,0.805555555555556,0.805555555555556,0.888888888888889,0.972222222222222,0.888888888888889,0.916666666666667,0.763888888888889,0.8125,LTM,0.34,0.5133333333,0.6866666667,0.7866666667,0.8533333333,0.89,0.9233333333,0.9333333333,0.9533333333,0.9733333333,0.9766666667,0.98,0.3316666667,0.455,0.625,0.735,0.8,0.8316666667,0.8716666667,0.8966666667,0.9116666667,0.9416666667,0.95,0.955,0.7,NA,NA,0.1,0.1,NA,0.8241666667,0.8033333333
6253,0.25,0.583333333333333,0.916666666666667,0.916666666666667,1,0.958333333333333,0.958333333333333,0.916666666666667,0.958333333333333,0.916666666666667,0.916666666666667,0.916666666666667,0.333333333333333,0.583333333333333,0.722222222222222,0.75,0.805555555555556,0.833333333333333,0.861111111111111,0.888888888888889,0.944444444444444,0.861111111111111,0.944444444444444,0.972222222222222,0.888888888888889,0.888888888888889,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
6256,0.416666666666667,0.666666666666667,1,0.916666666666667,1,0.958333333333333,0.958333333333333,0.916666666666667,0.958333333333333,1,0.833333333333333,0.916666666666667,0.25,0.611111111111111,0.722222222222222,0.777777777777778,0.833333333333333,0.944444444444444,0.916666666666667,0.944444444444444,0.972222222222222,0.916666666666667,0.888888888888889,0.888888888888889,0.861111111111111,0.861111111111111,LTM,0.35,0.5666666667,0.6733333333,0.78,0.8566666667,0.9033333333,0.93,0.95,0.9666666667,0.9766666667,0.98,0.99,0.3316666667,0.5383333333,0.6933333333,0.7833333333,0.8483333333,0.8916666667,0.91,0.9583333333,0.9616666667,0.9833333333,0.9816666667,0.9933333333,0.7,NA,NA,0.2,0.5,NA,0.885,0.8833333333
