1036,"[0.3566666667, 0.41000000000000003, 0.4666666667, 0.4733333333, 0.64, 0.7033333333, 0.7533333333000001, 0.8200000000000001, 0.86, 0.8833333333000001, 0.8966666667000001, 0.93]"
1037,"[0.34, 0.3833333333, 0.4733333333, 0.54, 0.6366666667, 0.7366666667, 0.7166666667, 0.8, 0.86, 0.8966666667000001, 0.92, 0.9066666667000001]"
1038,"[0.3466666667, 0.4233333333, 0.49, 0.5266666667000001, 0.6866666667, 0.7066666667, 0.7133333333, 0.8166666667, 0.8533333333, 0.9, 0.9, 0.9233333333]"
1039,"[0.28, 0.39, 0.46333333330000004, 0.5266666667000001, 0.62, 0.6733333333, 0.79, 0.8200000000000001, 0.8533333333, 0.8933333333000001, 0.8766666667, 0.9]"
104,"[0.3233333333, 0.3866666667, 0.3833333333, 0.40333333330000004, 0.40333333330000004, 0.45333333330000003, 0.48, 0.46, 0.48666666670000003, 0.5066666667, 0.5633333333, 0.5533333333]"
1040,"[0.34, 0.4433333333, 0.4566666667, 0.54, 0.6000000000000001, 0.7133333333, 0.7433333333000001, 0.8333333333, 0.8666666667, 0.8966666667000001, 0.92, 0.9233333333]"
1041,"[0.31, 0.40333333330000004, 0.4666666667, 0.52, 0.6633333333, 0.6900000000000001, 0.7766666667000001, 0.8, 0.86, 0.8733333333000001, 0.9066666667000001, 0.9466666667]"
1042,"[0.31, 0.42666666670000003, 0.46, 0.55, 0.7166666667, 0.6766666667, 0.7633333333000001, 0.8466666667, 0.8566666667, 0.9033333333, 0.92, 0.9400000000000001]"
1043,"[0.2933333333, 0.33, 0.46333333330000004, 0.5266666667000001, 0.6266666667, 0.73, 0.7366666667, 0.8, 0.8633333333000001, 0.8733333333000001, 0.9233333333, 0.9233333333]"
1044,"[0.3433333333, 0.39333333330000003, 0.4733333333, 0.56, 0.6266666667, 0.7333333333000001, 0.76, 0.8066666667, 0.85, 0.8733333333000001, 0.8833333333000001, 0.9433333333]"
1045,"[0.3233333333, 0.4166666667, 0.4766666667, 0.54, 0.6433333333, 0.6633333333, 0.7633333333000001, 0.8233333333, 0.8533333333, 0.9066666667000001, 0.89, 0.9333333333]"
1046,"[0.31, 0.42666666670000003, 0.4766666667, 0.5, 0.6900000000000001, 0.67, 0.79, 0.8466666667, 0.8766666667, 0.9133333333, 0.91, 0.9333333333]"
1047,"[0.33, 0.41000000000000003, 0.4333333333, 0.5933333333, 0.63, 0.6933333333, 0.8200000000000001, 0.81, 0.8533333333, 0.9066666667000001, 0.8833333333000001, 0.8766666667]"
1048,"[0.3033333333, 0.45, 0.4433333333, 0.4933333333, 0.6066666667, 0.7033333333, 0.7866666667000001, 0.8, 0.8333333333, 0.86, 0.89, 0.9166666667000001]"
1049,"[0.29, 0.3833333333, 0.4566666667, 0.58, 0.61, 0.76, 0.7666666667, 0.7833333333, 0.8633333333000001, 0.8866666667, 0.92, 0.9033333333]"
105,"[0.3266666667, 0.3833333333, 0.3266666667, 0.3533333333, 0.3866666667, 0.45333333330000003, 0.43666666670000004, 0.44, 0.5, 0.5133333333, 0.5166666667, 0.54]"
1050,"[0.3166666667, 0.3833333333, 0.41000000000000003, 0.46333333330000004, 0.53, 0.5833333333, 0.6466666667000001, 0.67, 0.7466666667, 0.7666666667, 0.78, 0.79]"
1051,"[0.29, 0.36, 0.45333333330000003, 0.4566666667, 0.5333333333, 0.58, 0.6033333333, 0.67, 0.64, 0.7366666667, 0.7733333333, 0.8333333333]"
1052,"[0.3466666667, 0.40333333330000004, 0.42, 0.4733333333, 0.5633333333, 0.6133333333000001, 0.6366666667, 0.7166666667, 0.6966666667, 0.73, 0.78, 0.7833333333]"
1053,"[0.35000000000000003, 0.36, 0.4466666667, 0.4733333333, 0.53, 0.6433333333, 0.6533333333, 0.6466666667000001, 0.6866666667, 0.7633333333000001, 0.7733333333, 0.7966666667000001]"
1054,"[0.3433333333, 0.41000000000000003, 0.43, 0.4566666667, 0.53, 0.6033333333, 0.6000000000000001, 0.6533333333, 0.6733333333, 0.7633333333000001, 0.76, 0.73]"
