,0,1,2,3,4,5,6,7,8
30,"[0.32333333 0.36333333 0.40333333 0.46       0.47666667 0.43666667
 0.44       0.51666667 0.50333333 0.53       0.56666667 0.59333333]","[0.34333333 0.32166667 0.35       0.405      0.39166667 0.4
 0.49166667 0.49       0.48666667 0.49833333 0.57666667 0.59166667]","          0
0  0.666667
1  0.666667
2  1.000000
3  0.333333","          0
0  0.333333
1  0.666667
2  0.000000
3  0.666667",0.1,2,0.2,0.05,0.3
31,"[0.26666667 0.37666667 0.42       0.38       0.43333333 0.45333333
 0.48333333 0.51       0.51333333 0.57       0.57       0.60666667]","[0.31       0.39833333 0.35       0.435      0.43333333 0.44166667
 0.45333333 0.47       0.47       0.52166667 0.54333333 0.575     ]","          0
0  0.666667
1  0.666667
2  0.666667
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0.2,2,0.2,0.05,0.3
32,"[0.30666667 0.37333333 0.38333333 0.41333333 0.47666667 0.50666667
 0.53666667 0.52333333 0.53666667 0.6        0.60666667 0.64      ]","[0.36166667 0.37333333 0.39833333 0.41166667 0.42166667 0.405
 0.49333333 0.47833333 0.48666667 0.56166667 0.54333333 0.56333333]","          0
0  0.333333
1  0.333333
2  1.000000
3  0.000000","          0
0  0.333333
1  0.666667
2  1.000000
3  0.333333",0.3,2,0.2,0.05,0.3
33,"[0.32333333 0.33       0.37       0.41       0.5        0.47333333
 0.52333333 0.53333333 0.54333333 0.59666667 0.62333333 0.63333333]","[0.27666667 0.345      0.37166667 0.43166667 0.41       0.45
 0.44166667 0.48166667 0.54666667 0.55666667 0.55666667 0.55      ]","          0
0  0.333333
1  0.333333
2  0.000000
3  0.333333","          0
0  1.000000
1  0.333333
2  1.000000
3  1.000000",0.4,2,0.2,0.05,0.3
34,"[0.33666667 0.35666667 0.38333333 0.41666667 0.45333333 0.46
 0.52       0.52333333 0.51666667 0.59333333 0.58666667 0.62      ]","[0.36       0.38       0.38166667 0.415      0.41166667 0.46
 0.455      0.46166667 0.50833333 0.54166667 0.565      0.59166667]","          0
0  0.333333
1  0.333333
2  0.333333
3  0.666667","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000",0.5,2,0.2,0.05,0.3
35,"[0.34333333 0.42666667 0.39666667 0.44666667 0.45666667 0.49
 0.52       0.51333333 0.58       0.58666667 0.59       0.62666667]","[0.305      0.32833333 0.38833333 0.44333333 0.43166667 0.38833333
 0.48833333 0.49       0.49       0.51666667 0.50333333 0.56666667]","          0
0  0.666667
1  0.333333
2  0.666667
3  0.333333","          0
0  0.666667
1  0.666667
2  1.000000
3  0.333333",0.1,3,0.2,0.05,0.3
36,"[0.35333333 0.35666667 0.37333333 0.39666667 0.46333333 0.50333333
 0.49666667 0.50666667 0.51666667 0.54666667 0.59333333 0.59666667]","[0.32666667 0.34166667 0.37333333 0.455      0.41       0.43166667
 0.445      0.485      0.53       0.52666667 0.535      0.585     ]","          0
0  0.666667
1  0.666667
2  0.333333
3  0.333333","          0
0  1.000000
1  0.666667
2  0.666667
3  0.333333",0.2,3,0.2,0.05,0.3
37,"[0.32666667 0.38333333 0.43666667 0.47333333 0.44333333 0.50666667
 0.53       0.53666667 0.54333333 0.6        0.61666667 0.66      ]","[0.36166667 0.36       0.405      0.42166667 0.43       0.43333333
 0.45333333 0.495      0.52666667 0.54       0.535      0.59333333]","          0
0  1.000000
1  0.666667
2  0.333333
3  0.333333","          0
0  1.000000
1  0.333333
2  0.666667
3  0.666667",0.3,3,0.2,0.05,0.3
38,"[0.32666667 0.35333333 0.43333333 0.41       0.47666667 0.5
 0.57333333 0.55333333 0.55666667 0.55666667 0.62333333 0.61333333]","[0.32833333 0.37666667 0.38       0.42166667 0.39       0.46666667
 0.45666667 0.50333333 0.50166667 0.51833333 0.53833333 0.585     ]","          0
0  0.666667
1  0.333333
2  0.333333
3  0.666667","          0
0  0.333333
1  0.666667
2  0.666667
3  0.333333",0.4,3,0.2,0.05,0.3
39,"[0.31333333 0.36       0.35333333 0.43333333 0.47333333 0.5
 0.5        0.56       0.58666667 0.61666667 0.53666667 0.62      ]","[0.33166667 0.35       0.38       0.41666667 0.41666667 0.45166667
 0.44333333 0.49       0.52666667 0.49333333 0.57       0.60833333]","          0
0  0.000000
1  1.000000
2  0.333333
3  0.666667","          0
0  0.333333
1  0.000000
2  0.666667
3  0.333333",0.5,3,0.2,0.05,0.3
